Rank	Team	Power Rating	Gender Division	Competition Division	City	State	Club Region	Club Section	Wins	Losses
64	Venom	389	Women	Classic	Tucson	AZ	Southwest	So Cal	9	4
65	TWISTED	353	Women	Classic	Dallas	TX	South Central	Texas	5	16
66	Medusa	300	Women	Classic	Milwaukee	WI	North Central	Northwest Plains	8	13
67	Sureshot	299	Women	Classic	Cincinnati	OH	Great Lakes	East Plains	7	14
68	Inferno	294	Women	Classic	Houston	TX	South Central	Texas	3	8
69	Y'all	271	Women	 	Lexington	KY	Great Lakes	East Plains	7	9
70	COSMOS	217	Women	Classic	Colorado Springs	CO	South Central	Rocky Mountain	3	11
71	Colorado Cutthroat U-20 Girls	215	Girls	 	Denver	CO	South Central	Rocky Mountain	4	6
72	Portland Rain Check	193	Women	Classic	Portland	OR	Northwest	Oregon	3	25
73	Stormborn	163	Women	Classic	Minneapolis	MN	North Central	Northwest Plains	6	10
74	Seattle Soul	155	Women	Select	Seattle	WA	Northwest	Washington/BC	6	21
75	Swell	133	Women	Select	Salt Lake City	UT	Northwest	Big Sky	9	10
76	Incline	91	Women	 	Pittsburgh	PA	Mid-Atlantic	Founders	4	7
77	Versa	90	Women	Classic	Cambridge	MA	Northeast	East New England	1	19
78	Haboob	32	Women	 	Phoenix	AZ	Southwest	So Cal	9	17
79	Firewheel	-186	Women	 	Austin	TX	South Central	Texas	0	10
80	Solstice	-200	Women	 	Columbus	OH	Great Lakes	East Plains	1	14
81	Tempo	-210	Women	Classic	Bay Area	CA	Southwest	NorCal	5	19
82	Dissent	-232	Women	 	Washington	DC	Mid-Atlantic	Capital	3	18
83	Ultraviolet	-253	Women	Classic	Bay Area	CA	Southwest	NorCal	4	7
84	Freshwater Ultimate	-284	Women	Classic	Madison	WI	North Central	Northwest Plains	3	17
85	Just Add Water	-441	Women	Classic	Long Beach	CA	Southwest	So Cal	1	26
86	Charm	-590	Women	 	Des Moines	IA	North Central	West Plains	1	17
87	Pickup Lines	-654	Women	Classic	Washington, DC	DC	Mid-Atlantic	Capital	1	9
1	BFG	2140	Mixed	Pro	Seattle	WA	Northwest	Washington/BC	25	2
2	Hybrid	2083	Mixed	Pro	Ann Arbor	MI	Great Lakes	East Plains	23	6
3	Drag'n Thrust	2077	Mixed	Pro	Minneapolis	MN	North Central	Northwest Plains	23	6
4	shame.	2002	Mixed	Pro	Fort Collins	CO	South Central	Rocky Mountain	22	7
5	XIST	1984	Mixed	Pro	New York	NY	Northeast	Metro NY	20	9
6	Red Flag	1943	Mixed	Pro	Vancouver	BC	Northwest	Washington/BC	20	4
7	Sprocket	1929	Mixed	Elite	Medford	MA	Northeast	East New England	21	8
8	Austin Disco Club	1844	Mixed	Select	Austin	TX	South Central	Texas	24	5
9	Slow	1796	Mixed	Pro	Boston	MA	Northeast	East New England	13	15
10	AMP	1791	Mixed	Pro	Philadelphia	PA	Mid-Atlantic	Founders	17	9
11	Lawless	1782	Mixed	Elite	Phoenix	AZ	Southwest	So Cal	14	12
12	Seattle Mixtape	1763	Mixed	Elite	Seattle	WA	Northwest	Washington/BC	15	13
13	Space Force	1762	Mixed	Select	Huntsville	AL	Southeast	Gulf Coast	28	8
14	Rally	1762	Mixed	Elite	Washington	DC	Mid-Atlantic	Capital	16	15
15	Tower	1761	Mixed	Select	Sacramento	CA	Southwest	NorCal	17	12
16	Mischief	1722	Mixed	Elite	San Francisco Bay Area	CA	Southwest	NorCal	13	10
17	'Shine	1676	Mixed	Elite	Nashville	TN	Southeast	East Coast	14	16
18	Toro	1667	Mixed	Select	Durham	NC	Southeast	North Carolina	18	7
19	Mile High Trash	1639	Mixed	Select	Denver	CO	South Central	Rocky Mountain	17	5
20	MOONDOG	1614	Mixed	Top Select	Montana	MT	Northwest	Big Sky	22	14
